# 月行九道 — Ecliptic latitude β envelope (local extrema)
# DE440 1900–2100, 1-day steps
#
# day         beta(deg)    type
# ----------  -----------  ----  (1=max, -1=min)
   7244.0000      5.252722   1
   7257.0000     -5.296916  -1
   7272.0000      5.274010   1
   7284.0000     -5.240068  -1
   7299.0000      5.162229   1
   7312.0000     -5.074997  -1
   7326.0000      5.025615   1
   7339.0000     -4.998185  -1
   7353.0000      5.000844   1
   7366.0000     -5.041437  -1
   7380.0000      5.101612   1
   7393.0000     -5.171303  -1
   7408.0000      5.220118   1
   7420.0000     -5.260420  -1
   7435.0000      5.284159   1
   7448.0000     -5.239175  -1
   7462.0000      5.202019   1
   7475.0000     -5.148935  -1
   7489.0000      5.061043   1
   7502.0000     -5.025765  -1
   7516.0000      4.980893   1
   7529.0000     -4.977676  -1
   7543.0000      5.022352   1
   7557.0000     -5.080612  -1
   7571.0000      5.151986   1
   7584.0000     -5.227374  -1
   7598.0000      5.273190   1
   7611.0000     -5.280993  -1
   7625.0000      5.245692   1
   7638.0000     -5.187317  -1
   7652.0000      5.096384   1
   7666.0000     -5.024525  -1
   7679.0000      4.967615   1
   7693.0000     -4.987809  -1
   7706.0000      4.974690   1
   7720.0000     -5.064965  -1
   7734.0000      5.110332   1
   7747.0000     -5.182821  -1
   7761.0000      5.250172   1
   7775.0000     -5.248466  -1
   7788.0000      5.262379   1
   7802.0000     -5.218160  -1
   7815.0000      5.140011   1
   7829.0000     -5.098305  -1
   7843.0000      5.012043   1
   7856.0000     -4.991900  -1
   7870.0000      4.971193   1
   7884.0000     -4.988002  -1
   7897.0000      5.053262   1
   7911.0000     -5.140631  -1
   7924.0000      5.198535   1
   7938.0000     -5.259067  -1
   7951.0000      5.279601   1
   7965.0000     -5.252383  -1
   7978.0000      5.207308   1
   7993.0000     -5.120381  -1
   8006.0000      5.074106   1
   8020.0000     -5.011264  -1
   8033.0000      4.981947   1
   8047.0000     -5.001569  -1
   8060.0000      5.026112   1
   8074.0000     -5.106006  -1
   8087.0000      5.171325   1
   8102.0000     -5.215988  -1
   8114.0000      5.277669   1
   8129.0000     -5.280267  -1
   8141.0000      5.233773   1
   8156.0000     -5.197590  -1
   8169.0000      5.133081   1
   8183.0000     -5.062093  -1
   8196.0000      5.021384   1
   8210.0000     -4.988451  -1
   8223.0000      5.006547   1
   8238.0000     -5.024524  -1
   8250.0000      5.104605   1
   8265.0000     -5.188632  -1
   8277.0000      5.223782   1
   8292.0000     -5.285118  -1
   8305.0000      5.271667   1
   8319.0000     -5.237989  -1
   8332.0000      5.211485   1
   8347.0000     -5.096540  -1
   8359.0000      5.059280   1
   8374.0000     -4.986980  -1
   8386.0000      4.961909   1
   8401.0000     -5.007557  -1
   8414.0000      5.042687   1
   8428.0000     -5.147776  -1
   8441.0000      5.199468   1
   8455.0000     -5.259239  -1
   8468.0000      5.289212   1
   8483.0000     -5.255517  -1
   8495.0000      5.229755   1
   8510.0000     -5.154078  -1
   8523.0000      5.070345   1
   8537.0000     -5.026995  -1
   8550.0000      5.001181   1
   8564.0000     -4.993532  -1
   8577.0000      5.028331   1
   8591.0000     -5.080035  -1
   8604.0000      5.138065   1
   8618.0000     -5.200277  -1
   8631.0000      5.230498   1
   8646.0000     -5.265960  -1
   8659.0000      5.248071   1
   8673.0000     -5.219275  -1
   8686.0000      5.163834   1
   8700.0000     -5.077081  -1
   8713.0000      5.025263   1
   8727.0000     -4.978227  -1
   8740.0000      4.956165   1
   8754.0000     -5.018901  -1
   8768.0000      5.083709   1
   8781.0000     -5.152856  -1
   8795.0000      5.232072   1
   8809.0000     -5.255416  -1
   8822.0000      5.271324   1
   8836.0000     -5.243400  -1
   8849.0000      5.165667   1
   8863.0000     -5.109736  -1
   8877.0000      5.034127   1
   8890.0000     -4.990335  -1
   8904.0000      4.993917   1
   8917.0000     -4.988958  -1
   8931.0000      5.053722   1
   8944.0000     -5.094492  -1
   8958.0000      5.155048   1
   8972.0000     -5.216195  -1
   8986.0000      5.257749   1
   8999.0000     -5.273069  -1
   9013.0000      5.241947   1
   9026.0000     -5.186527  -1
   9040.0000      5.118814   1
   9053.0000     -5.033046  -1
   9067.0000      4.992501   1
   9080.0000     -4.956502  -1
   9095.0000      4.985453   1
   9108.0000     -5.029006  -1
   9122.0000      5.144118   1
   9135.0000     -5.189408  -1
   9149.0000      5.265956   1
   9162.0000     -5.288011  -1
   9176.0000      5.247812   1
   9189.0000     -5.227666  -1
   9204.0000      5.133238   1
   9217.0000     -5.062096  -1
   9231.0000      5.021960   1
   9244.0000     -4.985806  -1
   9258.0000      5.008044   1
   9271.0000     -5.025724  -1
   9285.0000      5.101224   1
   9298.0000     -5.157520  -1
   9312.0000      5.201104   1
   9325.0000     -5.272664  -1
   9340.0000      5.286731   1
   9352.0000     -5.265813  -1
   9367.0000      5.225221   1
   9380.0000     -5.155110  -1
   9394.0000      5.085811   1
   9407.0000     -5.039574  -1
   9421.0000      4.990741   1
   9434.0000     -5.001460  -1
   9448.0000      5.019800   1
   9461.0000     -5.093505  -1
   9476.0000      5.175478   1
   9488.0000     -5.224291  -1
   9503.0000      5.291300   1
   9516.0000     -5.271414  -1
   9530.0000      5.246226   1
   9543.0000     -5.209773  -1
   9557.0000      5.094072   1
   9570.0000     -5.061602  -1
   9585.0000      4.981722   1
   9597.0000     -4.966981  -1
   9612.0000      4.999911   1
   9625.0000     -5.046455  -1
   9639.0000      5.131377   1
   9652.0000     -5.191005  -1
   9666.0000      5.254583   1
   9679.0000     -5.280971  -1
   9693.0000      5.257285   1
   9706.0000     -5.241330  -1
   9721.0000      5.172153   1
   9734.0000     -5.095060  -1
   9748.0000      5.042734   1
   9761.0000     -5.011678  -1
   9775.0000      4.982342   1
   9788.0000     -5.015440  -1
   9802.0000      5.058265   1
   9815.0000     -5.117683  -1
   9829.0000      5.203386   1
   9843.0000     -5.223432  -1
   9856.0000      5.265586   1
   9870.0000     -5.262193  -1
   9884.0000      5.214118   1
   9897.0000     -5.162782  -1
   9911.0000      5.076979   1
   9924.0000     -5.019830  -1
   9938.0000      4.985668   1
   9952.0000     -4.966396  -1
   9965.0000      5.029419   1
   9979.0000     -5.096757  -1
   9992.0000      5.161673   1
  10006.0000     -5.230350  -1
  10019.0000      5.253672   1
  10033.0000     -5.266973  -1
  10047.0000      5.248526   1
  10060.0000     -5.174313  -1
  10074.0000      5.148161   1
  10088.0000     -5.070569  -1
  10101.0000      5.022509   1
  10115.0000     -5.003597  -1
  10128.0000      4.993098   1
  10142.0000     -5.041528  -1
  10155.0000      5.091596   1
  10170.0000     -5.145003  -1
  10182.0000      5.224273   1
  10197.0000     -5.280398  -1
  10210.0000      5.277367   1
  10224.0000     -5.259090  -1
  10237.0000      5.206631   1
  10251.0000     -5.121387  -1
  10264.0000      5.055155   1
  10278.0000     -4.994230  -1
  10291.0000      4.982198   1
  10306.0000     -5.003363  -1
  10318.0000      5.051748   1
  10333.0000     -5.154747  -1
  10346.0000      5.182116   1
  10360.0000     -5.269677  -1
  10373.0000      5.286456   1
  10387.0000     -5.257682  -1
  10400.0000      5.256355   1
  10415.0000     -5.169512  -1
  10427.0000      5.112626   1
  10442.0000     -5.051500  -1
  10455.0000      4.998567   1
  10469.0000     -5.008318  -1
  10482.0000      5.016020   1
  10496.0000     -5.086326  -1
  10509.0000      5.140507   1
  10523.0000     -5.204599  -1
  10536.0000      5.273510   1
  10551.0000     -5.296496  -1
  10563.0000      5.287431   1
  10578.0000     -5.240503  -1
  10591.0000      5.158808   1
  10605.0000     -5.091241  -1
  10618.0000      5.043401   1
  10632.0000     -4.996309  -1
  10645.0000      5.009600   1
  10659.0000     -5.037598  -1
  10672.0000      5.100428   1
  10687.0000     -5.164488  -1
  10699.0000      5.217685   1
  10714.0000     -5.286313  -1
  10727.0000      5.273903   1
  10741.0000     -5.262578  -1
  10754.0000      5.223710   1
  10768.0000     -5.130059  -1
  10781.0000      5.086729   1
  10795.0000     -5.002861  -1
  10808.0000      4.972521   1
  10822.0000     -4.979245  -1
  10836.0000      5.037253   1
  10850.0000     -5.092563  -1
  10863.0000      5.177620   1
  10877.0000     -5.242103  -1
  10890.0000      5.279551   1
  10904.0000     -5.285100  -1
  10917.0000      5.247092   1
  10931.0000     -5.174524  -1
  10945.0000      5.110418   1
  10959.0000     -5.035182  -1
  10972.0000      5.015689   1
  10986.0000     -4.972219  -1
  10999.0000      5.019490   1
  11013.0000     -5.055153  -1
  11026.0000      5.116395   1
  11040.0000     -5.207869  -1
  11054.0000      5.246425   1
  11067.0000     -5.284388  -1
  11081.0000      5.273624   1
  11094.0000     -5.211729  -1
  11108.0000      5.175951   1
  11122.0000     -5.093828  -1
  11135.0000      5.035132   1
  11149.0000     -5.000319  -1
  11163.0000      4.979390   1
  11176.0000     -5.018828  -1
  11190.0000      5.086557   1
  11203.0000     -5.142749  -1
  11217.0000      5.220020   1
  11230.0000     -5.265899  -1
  11244.0000      5.269377   1
  11257.0000     -5.263542  -1
  11272.0000      5.212603   1
  11285.0000     -5.165986  -1
  11299.0000      5.091535   1
  11312.0000     -5.034790  -1
  11326.0000      5.008452   1
  11339.0000     -5.002182  -1
  11353.0000      5.049014   1
  11366.0000     -5.108345  -1
  11381.0000      5.169463   1
  11393.0000     -5.246618  -1
  11408.0000      5.294824   1
  11420.0000     -5.273663  -1
