# 月行九道 — Ecliptic node crossings (β = 0)
# DE440 1900–2100, linear interpolation between 1-day steps
# Frame: SOFA IAU 2006 mean ecliptic/equinox of date
#
# day          lambda(deg)   type
# ----------   -----------   ----  (A=ascending, D=descending)
  10584.5394     60.211774  A
  10597.7606    239.718631  D
  10611.7998     58.511549  A
  10624.8552    237.310456  D
  10638.8506     55.576395  A
  10651.9319    234.182029  D
  10665.8814     52.831027  A
  10679.1029    231.962294  D
  10693.0859     51.470720  A
  10706.3729    231.250709  D
  10720.4670     51.280204  A
  10733.6576    231.319575  D
  10747.9034     51.193221  A
  10760.8723    230.961109  D
  10775.2447     50.158776  A
  10787.9843    229.326400  D
  10802.4038     47.780730  A
  10815.0499    226.568373  D
  10829.4387     44.912544  A
  10842.1833    223.863204  D
  10856.5177     42.846842  A
  10869.4453    222.372164  D
  10883.7690     42.154238  A
  10896.7810    222.154646  D
  10911.1741     42.231624  A
  10924.0717    222.162085  D
  10938.5799     41.634566  A
  10951.2185    221.016515  D
  10965.8320     39.473198  A
  10978.2520    218.306015  D
  10992.8958     36.314453  A
  11005.3421    215.179984  D
  11019.9324     33.795524  A
  11032.6053    213.218559  D
  11047.1072     32.828911  A
  11059.9837    212.769877  D
  11074.4253     32.834753  A
  11087.3419    212.834650  D
  11101.7859     32.577386  A
  11114.5604    212.150864  D
  11129.0684     31.129188  A
  11141.6349    210.137664  D
  11156.2054     28.464482  A
  11168.6795    207.276592  D
  11183.2594     25.684035  A
  11195.8476    204.840425  D
  11210.3589     24.001890  A
  11223.1954    203.762827  D
  11237.5823     23.635626  A
  11250.6235    203.679894  D
  11264.9011     23.698236  A
  11277.9747    203.470562  D
  11292.2026     22.858593  A
  11305.1325    201.946587  D
  11319.3789     20.389633  A
  11332.1445    199.038279  D
  11346.4443     17.202142  A
  11359.2327    196.133608  D
  11373.5293     14.977596  A
  11386.5376    194.586042  D
  11400.7225     14.326890  A
  11413.9868    194.371631  D
  11427.9948     14.431765  A
  11441.4109    194.305596  D
  11455.2537     13.978945  A
  11468.6662    193.206632  D
  11482.4300     12.168887  A
  11495.7436    190.852024  D
  11509.5279      9.360652  A
  11522.7769    188.061420  D
  11536.6255      6.800192  A
  11549.9427    186.072973  D
  11563.7975      5.501253  A
  11577.3042    185.408790  D
  11591.0461      5.385332  A
  11604.7650    185.397852  D
  11618.3039      5.378275  A
  11632.1665    184.907305  D
  11645.4890      4.220260  A
  11659.3586    182.912939  D
  11672.5804      1.521924  A
  11686.3766    179.861345  D
  11699.6650    358.415663  A
  11713.4408    177.291203  D
  11726.8469    356.512643  A
  11740.7171    176.213142  D
  11754.1195    356.142371  A
  11768.1616    176.215174  D
  11781.3871    356.221877  A
  11795.5949    175.885910  D
  11808.5672    355.457252  A
  11822.8751    174.313329  D
  11835.6553    353.297900  A
  11849.9688    171.629667  D
  11862.7347    350.394532  A
  11877.0005    168.966786  D
  11889.9049    348.080775  A
  11904.1415    167.426659  D
  11917.1877    347.133495  A
  11931.4553    167.088541  D
  11944.5048    347.126710  A
  11958.8763    167.086593  D
  11971.7516    346.929402  A
  11986.2549    166.223326  D
  11998.8661    345.427624  A
  12013.4523    163.781385  D
  12025.9035    342.515600  A
  12040.4866    160.630386  D
  12053.0260    339.540818  A
  12067.5438    158.393637  D
  12080.3241    337.954684  A
  12094.7738    157.720430  D
  12107.7024    337.738272  A
  12122.1480    157.810581  D
  12135.0144    337.709238  A
  12149.5168    157.213134  D
  12162.1717    336.595189  A
  12176.7578    155.193789  D
  12189.2138    334.114815  A
  12203.8497    152.282120  D
  12216.2946    331.220366  A
  12230.9017    149.812845  D
  12243.5318    329.208814  A
  12258.0437    148.671960  D
  12270.9064    328.557282  A
  12285.3094    148.593228  D
  12298.3090    328.623598  A
  12312.6397    148.504714  D
  12325.5927    328.141294  A
  12339.9265    147.279568  D
  12352.6954    326.264863  A
  12367.0784    144.589666  D
  12379.7109    323.253620  A
  12394.1319    141.520959  D
  12406.8483    320.562835  A
  12421.2289    139.643953  D
  12434.2087    319.397734  A
  12448.4485    139.273668  D
  12461.6710    319.314240  A
  12475.7418    139.332946  D
  12489.0519    319.064015  A
  12503.0032    138.467593  D
  12516.2315    317.522548  A
  12530.1578    136.151304  D
  12543.2626    314.806369  A
  12557.2402    133.207797  D
  12570.3335    312.116443  A
  12584.3484    131.031023  D
  12597.5828    310.556378  A
  12611.5402    130.229556  D
  12624.9950    310.236604  A
  12638.7940    130.279860  D
  12652.4435    310.236491  A
  12666.0414    130.051946  D
  12679.7720    309.369485  A
  12693.2120    128.521695  D
  12706.8996    307.109832  A
  12720.3014    125.667246  D
  12733.9104    304.110710  A
  12747.3979    122.779132  D
  12761.0272    301.870136  A
  12774.5903    121.245992  D
  12788.3689    301.116667  A
  12801.8611    121.090688  D
  12815.8410    301.117053  A
  12829.1162    121.082162  D
  12843.2550    300.550388  A
  12856.2742    119.882904  D
  12870.4620    298.497104  A
  12883.3502    117.262757  D
  12897.5017    295.575162  A
  12910.4485    114.335974  D
  12924.5580    293.160109  A
  12937.6506    112.455196  D
  12951.7772    292.071963  A
  12964.9372    111.952338  D
  12979.1585    292.022048  A
  12992.2269    112.053281  D
  13006.5810    291.851823  A
  13019.4292    111.555767  D
  13033.9109    290.562440  A
  13046.5189    109.667853  D
  13061.0536    287.931767  A
  13073.5743    106.678601  D
  13088.0753    284.974702  A
