# 月行九道 — Ecliptic node crossings (β = 0)
# DE440 1900–2100, linear interpolation between 1-day steps
# Frame: fixed J2000 mean ecliptic approximation
#
# day          lambda(deg)   type
# ----------   -----------   ----  (A=ascending, D=descending)
   8325.7983    180.745603  A
   8339.2418      0.462449  D
   8353.1040    179.565022  A
   8366.3776    358.488331  D
   8380.1886    176.900244  A
   8393.4500    355.365457  D
   8407.1982    173.885259  A
   8420.5743    352.705198  D
   8434.3637    172.027310  A
   8447.8071    351.624202  D
   8461.7422    171.596504  A
   8475.0894    351.665011  D
   8489.2091    171.628349  A
   8502.3200    351.456547  D
   8516.5761    170.717555  A
   8529.4484    349.966806  D
   8543.7512    168.458816  A
   8556.5181    347.262026  D
   8570.7887    165.599869  A
   8583.6351    344.491487  D
   8597.8607    163.419852  A
   8610.8642    342.847727  D
   8625.0962    162.577786  A
   8638.1756    342.512620  D
   8652.4799    162.566408  A
   8665.4681    342.575281  D
   8679.9002    162.252366  A
   8692.6498    341.814702  D
   8707.1986    160.611880  A
   8719.7106    339.517780  D
   8734.2978    157.629626  A
   8746.7706    336.341806  D
   8761.3158    154.758704  A
   8773.9775    333.951061  D
   8788.4521    153.323085  A
   8801.3356    333.170361  D
   8815.7692    153.178105  A
   8828.6962    333.219069  D
   8843.1663    153.097252  A
   8855.9309    332.741395  D
   8870.4818    151.790380  A
   8883.0126    330.872590  D
   8897.6381    149.150924  A
   8910.0531    327.995963  D
   8924.6890    146.282246  A
   8937.2101    325.428900  D
   8951.7750    144.444977  A
   8964.5298    324.131411  D
   8978.9861    143.948958  A
   8991.9316    323.970970  D
   9006.2989    144.038202  A
   9019.2874    323.928134  D
   9033.6211    143.480085  A
   9046.4776    322.798597  D
   9060.8452    141.458676  A
   9073.5137    320.229213  D
   9087.9343    138.369037  A
   9100.5674    317.167609  D
   9114.9918    135.758380  A
   9127.8167    315.155011  D
   9142.1488    134.710922  A
   9155.2534    314.696504  D
   9169.4184    134.743600  A
   9182.6946    314.686523  D
   9196.7098    134.465816  A
   9209.9768    313.846923  D
   9223.9224    132.823951  A
   9237.0607    311.603534  D
   9251.0305    130.001463  A
   9264.0862    308.711828  D
   9278.1126    127.296289  A
   9291.2442    306.522880  D
   9305.2607    125.830780  A
   9318.5896    305.644439  D
   9332.4905    125.588280  A
   9346.0398    305.643212  D
   9359.7504    125.637789  A
   9373.4419    305.337603  D
   9386.9662    124.823759  A
   9400.6667    303.760672  D
   9414.0918    122.546499  A
   9427.7113    300.967072  D
   9441.1707    119.477994  A
   9454.7495    298.169136  D
   9468.3087    117.173001  A
   9481.9798    296.677384  D
   9495.5476    116.426184  A
   9509.4115    296.482146  D
   9522.8220    116.523787  A
   9536.8790    296.340454  D
   9550.0341    116.033070  A
   9564.1982    295.060718  D
   9577.1426    114.045536  A
   9591.3013    292.406602  D
   9604.2149    111.064603  A
   9618.3228    289.564095  D
   9631.3619    108.544044  A
   9645.4545    287.791506  D
   9658.6143    107.402179  A
   9672.7665    287.311032  D
   9685.9112    107.340879  A
   9700.1910    287.376799  D
   9713.1638    107.286043  A
   9727.5800    286.724450  D
   9740.3066    106.129115  A
   9754.8152    284.689446  D
   9767.3641    103.567735  A
   9781.8764    281.707388  D
   9794.4582    100.541325  A
   9808.9125    279.187670  D
   9821.6964     98.535688  A
   9836.1020    278.144053  D
   9849.0506     98.067461  A
   9863.4644    278.132682  D
   9876.3851     98.137652  A
   9890.8751    277.799147  D
   9903.5725     97.311845  A
   9918.1640    276.059932  D
   9930.6214     94.956063  A
   9945.2680    273.091593  D
   9957.6815     91.886733  A
   9972.3039    270.364090  D
   9984.8934     89.624665  A
   9999.4299    268.985269  D
  10012.2543     88.834089  A
  10026.6958    268.796457  D
  10039.6372     88.837558  A
  10054.0428    268.800757  D
  10066.9208     88.535750  A
  10081.3512    267.842982  D
  10094.0458     87.012379  A
  10108.5363    265.466097  D
  10121.0746     84.268857  A
  10135.6045    262.457755  D
  10148.1828     81.459816  A
  10162.6748    260.261207  D
  10175.4882     79.855490  A
  10189.8597    259.563722  D
  10202.9312     79.592223  A
  10217.1545    259.675099  D
  10230.3438     79.548827  A
  10244.4518    259.126537  D
  10257.5617     78.322459  A
  10271.6458    257.013870  D
  10284.5977     75.667754  A
  10298.7303    253.926012  D
  10311.6450     72.712160  A
  10325.8136    251.437048  D
  10338.8769     70.863902  A
  10352.9867    250.434820  D
  10366.2869     70.417481  A
  10380.2391    250.446842  D
  10393.7278     70.409483  A
  10407.5004    250.302872  D
  10421.0617     69.791078  A
  10434.6996    249.013371  D
  10448.2065     67.854551  A
  10461.8137    246.438247  D
  10475.2314     65.030455  A
  10488.9011    243.573399  D
  10502.3252     62.587191  A
  10516.0534    241.759745  D
  10529.6219     61.457911  A
  10543.2942    241.351321  D
  10557.0853     61.419473  A
  10570.5577    241.436027  D
  10584.5332     61.111466  A
  10597.7526    240.616798  D
  10611.7932     59.408726  A
  10624.8473    238.207463  D
  10638.8440     56.473841  A
  10651.9244    235.080517  D
  10665.8751     53.731011  A
  10679.0957    232.863865  D
  10693.0800     52.373004  A
  10706.3660    232.154160  D
  10720.4614     52.183691  A
  10733.6507    232.222193  D
  10747.8976     52.094277  A
  10760.8653    231.861425  D
  10775.2388     51.058502  A
  10787.9773    230.225228  D
  10802.3977     48.680821  A
  10815.0430    227.468485  D
  10829.4328     45.815072  A
  10842.1770    224.766787  D
  10856.5122     43.752352  A
  10869.4395    223.278548  D
  10883.7637     43.060752  A
  10896.7752    223.060962  D
  10911.1689     43.137104  A
  10924.0657    223.066394  D
  10938.5746     42.538853  A
  10951.2125    221.919926  D
  10965.8265     40.377052  A
  10978.2463    219.210766  D
  10992.8904     37.220958  A
  11005.3370    216.088496  D
  11019.9273     34.705533  A
  11032.6006    214.130233  D
  11047.1024     33.740839  A
  11059.9792    213.681421  D
  11074.4206     33.746584  A
  11087.3373    213.745706  D
  11101.7812     33.487535  A
  11114.5557    213.060757  D
  11129.0637     32.038623  A
  11141.6304    211.048189  D
  11156.2008     29.376499  A
  11168.6754    208.190117  D
  11183.2551     26.599832  A
  11195.8440    205.757227  D
  11210.3549     24.920428  A
  11223.1920    204.681546  D
  11237.5785     24.554498  A
  11250.6202    204.598317  D
  11264.8972     24.615511  A
  11277.9712    204.387049  D
  11292.1988     23.775267  A
  11305.1290    202.863517  D
  11319.3753     21.308467  A
  11332.1414    199.958404  D
  11346.4410     18.125214  A
  11359.2300    197.058131  D
  11373.5263     15.904044  A
  11386.5353    195.513067  D
  11400.7196     15.253959  A
  11413.9846    195.297866  D
  11427.9919     15.357452  A
  11441.4086    195.231164  D
  11455.2509     14.904038  A
  11468.6639    194.132159  D
  11482.4274     13.095355  A
  11495.7415    191.779888  D
  11509.5257     10.290636  A
  11522.7752    188.993068  D
  11536.6237      7.733792  A
  11549.9413    187.007271  D
  11563.7959      6.436384  A
  11577.3030    186.343841  D
  11591.0445      6.319792  A
  11604.7637    186.331836  D
  11618.3022      6.311699  A
  11632.1653    185.840715  D
  11645.4876      5.154221  A
  11659.3575    183.848423  D
  11672.5793      2.459230  A
  11686.3758    180.801014  D
  11699.6644    359.357363  A
  11713.4404    178.234412  D
  11726.8465    357.456673  A
  11740.7168    177.157197  D
  11754.1192    357.086076  A
  11768.1614    177.158244  D
  11781.3868    357.164415  A
  11795.5947    176.828422  D
  11808.5670    356.399969  A
  11822.8751    175.257415  D
  11835.6554    354.243264  A
  11849.9691    172.577438  D
  11862.7352    351.343890  A
  11877.0011    169.918113  D
  11889.9057    349.032974  A
  11904.1423    168.379298  D
  11917.1886    348.085987  A
  11931.4561    168.040412  D
  11944.5057    348.078014  A
  11958.8771    168.037525  D
  11971.7526    347.880146  A
  11986.2558    167.174894  D
  11998.8673    346.380182  A
  12013.4536    164.736244  D
  12025.9050    343.472301  A
  12040.4884    161.589461  D
  12053.0279    340.501284  A
  12067.5458    159.354819  D
  12080.3261    338.915830  A
  12094.7758    158.681184  D
  12107.7044    338.698345  A
  12122.1499    158.770198  D
  12135.0165    338.668838  A
  12149.5188    158.172905  D
  12162.1740    337.555956  A
  12176.7603    156.156446  D
  12189.2164    335.078963  A
  12203.8526    153.248664  D
  12216.2975    332.187798  A
  12230.9049    150.781717  D
  12243.5347    330.177346  A
  12258.0469    149.640680  D
  12270.9093    329.525361  A
  12285.3126    149.560258  D
  12298.3118    329.590134  A
  12312.6429    149.471103  D
  12325.5957    329.108077  A
  12339.9300    148.247935  D
  12352.6987    327.234373  A
  12367.0822    145.561695  D
  12379.7145    324.226797  A
  12394.1362    142.495844  D
  12406.8519    321.538152  A
  12421.2333    140.619006  D
  12434.2123    320.372120  A
  12448.4529    140.247092  D
  12461.6745    320.287002  A
  12475.7461    140.305527  D
  12489.0557    320.037468  A
  12503.0077    139.441925  D
  12516.2356    318.497811  A
  12530.1627    137.128324  D
  12543.2669    315.784694  A
  12557.2455    134.187320  D
  12570.3379    313.096266  A
  12584.3538    132.010829  D
  12597.5871    311.535411  A
  12611.5456    131.207889  D
  12624.9992    311.215030  A
  12638.7994    131.256914  D
  12652.4477    311.213000  A
  12666.0469    131.029457  D
  12679.7766    310.347557  A
  12693.2177    129.500963  D
  12706.9046    308.091139  A
  12720.3074    126.649222  D
  12733.9156    305.094305  A
  12747.4042    123.762130  D
  12761.0324    302.853580  A
  12774.5965    122.227716  D
  12788.3738    302.097175  A
  12801.8673    122.070896  D
  12815.8459    302.096780  A
  12829.1225    122.062022  D
  12843.2600    301.530759  A
  12856.2807    120.864170  D
  12870.4675    299.479718  A
  12883.3568    118.246433  D
  12897.5076    296.559694  A
  12910.4552    115.320554  D
  12924.5639    294.144256  A
  12937.6571    113.438586  D
  12951.7829    293.054426  A
  12964.9438    112.934253  D
  12979.1639    293.002824  A
  12992.2335    113.033520  D
  13006.5866    292.831844  A
  13019.4360    112.536381  D
  13033.9170    291.544955  A
  13046.5258    110.650421  D
  13061.0600    288.916490  A
  13073.5812    107.662580  D
  13088.0819    285.959359  A
  13100.7400    104.975998  D
  13115.1766    284.116122  A
