# 月行九道 — Ecliptic latitude β envelope (local extrema)
# DE440 1900–2100, 1-day steps
# Frame: SOFA IAU 2006 mean ecliptic/equinox of date
#
# day         beta(deg)    type
# ----------  -----------  ----  (1=max, -1=min)
   9952.0000     -4.968796  -1
   9965.0000      5.030503   1
   9979.0000     -5.098086  -1
   9992.0000      5.162222   1
  10006.0000     -5.230883  -1
  10019.0000      5.253615   1
  10033.0000     -5.266941  -1
  10047.0000      5.249778   1
  10060.0000     -5.173730  -1
  10074.0000      5.148762   1
  10088.0000     -5.071663  -1
  10101.0000      5.022505   1
  10115.0000     -5.003725  -1
  10128.0000      4.992563   1
  10142.0000     -5.040527  -1
  10155.0000      5.090581   1
  10170.0000     -5.145394  -1
  10182.0000      5.222747   1
  10197.0000     -5.279994  -1
  10210.0000      5.277204   1
  10224.0000     -5.258149  -1
  10237.0000      5.205740   1
  10251.0000     -5.119898  -1
  10264.0000      5.053497   1
  10278.0000     -4.991968  -1
  10291.0000      4.979874   1
  10306.0000     -5.002449  -1
  10318.0000      5.048911   1
  10333.0000     -5.152815  -1
  10346.0000      5.180800   1
  10360.0000     -5.266942  -1
  10373.0000      5.284621   1
  10387.0000     -5.254389  -1
  10400.0000      5.253861   1
  10415.0000     -5.167831  -1
  10427.0000      5.109351   1
  10442.0000     -5.049297  -1
  10455.0000      4.996573   1
  10469.0000     -5.005436  -1
  10482.0000      5.013326   1
  10496.0000     -5.082626  -1
  10509.0000      5.137281   1
  10523.0000     -5.200116  -1
  10536.0000      5.269840   1
  10551.0000     -5.293261  -1
  10563.0000      5.283225   1
  10578.0000     -5.236746  -1
  10591.0000      5.155887   1
  10605.0000     -5.087061  -1
  10618.0000      5.039567   1
  10632.0000     -4.991648  -1
  10645.0000      5.004910   1
  10659.0000     -5.032354  -1
  10672.0000      5.095127   1
  10687.0000     -5.160352  -1
  10699.0000      5.211968   1
  10714.0000     -5.281528  -1
  10727.0000      5.269612   1
  10741.0000     -5.257284  -1
  10754.0000      5.218852   1
  10768.0000     -5.124368  -1
  10781.0000      5.081127   1
  10795.0000     -4.996815  -1
  10808.0000      4.966129   1
  10823.0000     -4.972854  -1
  10836.0000      5.031954   1
  10850.0000     -5.087178  -1
  10863.0000      5.171729   1
  10877.0000     -5.236189  -1
  10890.0000      5.273263   1
  10904.0000     -5.278699  -1
  10917.0000      5.240427   1
  10931.0000     -5.167721  -1
