# 月行九道 — Ecliptic trajectory (λ, β)
# DE440 1900–2100, 1-day steps
# Frame: fixed J2000 mean ecliptic approximation
#
# day          lambda(deg)   beta(deg)
    645.0000    143.695443     -5.156916
    646.0000    156.387223     -4.867006
    647.0000    168.865851     -4.348869
    648.0000    181.155635     -3.635470
    649.0000    193.280246     -2.765294
    650.0000    205.264911     -1.780522
    651.0000    217.138930     -0.725158
    652.0000    228.937995      0.356683
    653.0000    240.705941      1.422079
    654.0000    252.495698      2.429976
    655.0000    264.369268      3.341220
    656.0000    276.396556      4.118059
    657.0000    288.652797      4.723464
    658.0000    301.214214      5.120824
    659.0000    314.151489      5.274713
    660.0000    327.520829      5.153609
    661.0000    341.353051      4.735266
    662.0000    355.642279      4.014720
    663.0000     10.337355      3.013361
    664.0000     25.339997      1.785468
    665.0000     40.512890      0.417624
    666.0000     55.697679     -0.981678
    667.0000     70.738566     -2.300067
    668.0000     85.504524     -3.440210
    669.0000     99.903971     -4.332542
    670.0000    113.889403     -4.938801
    671.0000    127.453346     -5.248150
    672.0000    140.619202     -5.269917
    673.0000    153.430576     -5.026435
    674.0000    165.941606     -4.547729
    675.0000    178.209504     -3.868332
    676.0000    190.289567     -3.025717
    677.0000    202.232460     -2.059644
    678.0000    214.083360     -1.011769
    679.0000    225.882529      0.074854
    680.0000    237.666903      1.156560
    681.0000    249.472285      2.190078
    682.0000    261.335741      3.133577
    683.0000    273.297793      3.947546
    684.0000    285.403978      4.595374
    685.0000    297.705385      5.043698
    686.0000    310.257712      5.262786
    687.0000    323.118411      5.227436
    688.0000    336.341499      4.919037
    689.0000    349.969800      4.329375
    690.0000      4.024888      3.466358
    691.0000     18.495976      2.360802
    692.0000     33.330399      1.071849
    693.0000     48.429616     -0.312772
    694.0000     63.654634     -1.684965
    695.0000     78.842379     -2.932798
    696.0000     93.830061     -3.960183
    697.0000    108.480386     -4.701885
    698.0000    122.699787     -5.128654
    699.0000    136.445284     -5.242801
    700.0000    149.720663     -5.068656
    701.0000    162.566024     -4.642712
    702.0000    175.045232     -4.006304
    703.0000    187.234435     -3.201485
    704.0000    199.213028     -2.269495
    705.0000    211.057267     -1.250801
    706.0000    222.836155     -0.185804
    707.0000    234.609132      0.884479
    708.0000    246.425234      1.918201
    709.0000    258.323479      2.873142
    710.0000    270.334377      3.707832
    711.0000    282.482364      4.383160
    712.0000    294.788865      4.864181
    713.0000    307.275515      5.121823
    714.0000    319.966859      5.134381
    715.0000    332.891801      4.888871
    716.0000    346.083040      4.382557
    717.0000    359.573865      3.625055
    718.0000     13.391914      2.641212
    719.0000     27.550056      1.474388
    720.0000     42.035477      0.188831
    721.0000     56.799489     -1.131130
    722.0000     71.752078     -2.387462
    723.0000     86.765535     -3.481042
    724.0000    101.689353     -4.327756
    725.0000    116.373802     -4.872353
    726.0000    130.694889     -5.094619
    727.0000    144.572443     -5.006345
    728.0000    157.976723     -4.642021
    729.0000    170.924365     -4.048059
    730.0000    183.467893     -3.274191
    731.0000    195.683357     -2.368411
    732.0000    207.659065     -1.375115
    733.0000    219.486604     -0.335381
    734.0000    231.254119      0.711723
    735.0000    243.041370      1.727639
    736.0000    254.916086      2.673263
    737.0000    266.931391      3.508747
    738.0000    279.124400      4.194404
    739.0000    291.516289      4.692731
    740.0000    304.114195      4.971297
    741.0000    316.915003      5.005975
    742.0000    329.910553      4.783888
    743.0000    343.093240      4.305534
    744.0000    356.460547      3.585903
    745.0000     10.017084      2.654735
    746.0000     23.773077      1.556262
    747.0000     37.739001      0.348583
    748.0000     51.916896     -0.897682
    749.0000     66.290041     -2.102381
    750.0000     80.813848     -3.181572
    751.0000     95.411735     -4.056406
    752.0000    109.979305     -4.663852
    753.0000    124.397695     -4.966170
    754.0000    138.552997     -4.955565
    755.0000    152.355591     -4.652258
    756.0000    165.753379     -4.097121
    757.0000    178.736099     -3.342153
    758.0000    191.331786     -2.442055
    759.0000    203.598575     -1.448750
    760.0000    215.615101     -0.409039
    761.0000    227.471525      0.635344
    762.0000    239.261959      1.646325
    763.0000    251.078180      2.587636
    764.0000    263.004192      3.423226
    765.0000    275.111254      4.116498
    766.0000    287.453327      4.630824
    767.0000    300.063372      4.931602
    768.0000    312.951393      4.989849
    769.0000    326.105244      4.786813
    770.0000    339.494871      4.318591
    771.0000    353.079598      3.599448
    772.0000      6.816883      2.662775
    773.0000     20.670092      1.559394
    774.0000     34.613009      0.353731
    775.0000     48.629754     -0.881106
    776.0000     62.710275     -2.068483
    777.0000     76.842851     -3.133353
    778.0000     91.005948     -4.007470
    779.0000    105.162151     -4.634927
    780.0000    119.256619     -4.977599
    781.0000    133.221329     -5.019384
    782.0000    146.984446     -4.767737
    783.0000    160.482221     -4.251601
    784.0000    173.669896     -3.516032
    785.0000    186.528808     -2.615115
    786.0000    199.068628     -1.605150
    787.0000    211.325410     -0.539655
    788.0000    223.357021      0.533246
    789.0000    235.237483      1.571266
    790.0000    247.051219      2.536928
    791.0000    258.887569      3.395837
    792.0000    270.835443      4.114953
    793.0000    282.977797      4.661492
    794.0000    295.385651      5.003009
    795.0000    308.111759      5.109159
    796.0000    321.184574      4.955407
    797.0000    334.603905      4.528471
    798.0000    348.339959      3.832450
    799.0000      2.337125      2.893736
    800.0000     16.522488      1.762547
    801.0000     30.817189      0.509713
    802.0000     45.147484     -0.780866
    803.0000     59.452451     -2.021979
    804.0000     73.686778     -3.132392
    805.0000     87.818950     -4.043813
    806.0000    101.826561     -4.705029
    807.0000    115.690932     -5.083775
    808.0000    129.392971     -5.167124
    809.0000    142.911443     -4.960864
    810.0000    156.223956     -4.487872
    811.0000    169.310118     -3.785354
    812.0000    182.155800     -2.900968
    813.0000    194.757274     -1.888261
    814.0000    207.124284     -0.802136
    815.0000    219.281597      0.304857
    816.0000    231.269016      1.384894
    817.0000    243.140169      2.395785
    818.0000    254.960412      3.300619
    819.0000    266.804091      4.066616
    820.0000    278.751199      4.663720
